cell_nm	batch_id	batch_name	cond	f_no_digestion	mean_f_fend_dup	max_chrom_cov_abber	f_trans	trans_align	total_contacts	cis_ab_comp	trans_ab_comp	passed_qc	mean_insu	loop_enr_EE	loop_enr_LL	ord	group	f_mitotic_band	f_near_band	far_mu	repli_score
1CDU_427	12	1CDU_2851	1CDU	0.373304222	0.031452345	0.544322018	0.087178406	0.303452699	203984	0.37090624299999997	0.330343999	1	2.345650526	0.7338258870000001	0.67516031	1095.0	early-S	0.11325038400000001	0.730045787	27473862.88	1.299223198
1CDU_428	12	1CDU_2851	1CDU	0.37230043700000004	0.025963855	0.368115645	0.06997067900000001	0.19146536399999997	157908	0.373832615	0.187325782	1	2.507465326	0.9634741240000001	1.249359469	329.0	G1	0.139406411	0.59685002	29692700.0	1.1015880359999999
1CDU_431	12	1CDU_2851	1CDU	0.47454182100000003	0.019132935	0.273966292	0.062314607	0.244646096	88663	0.49793445299999994	0.491217031	1	2.497252271	-1.0	0.646363045	1158.0	early-S	0.098435509	0.765574119	29177122.04	1.270754604
1CDU_433	12	1CDU_2851	1CDU	0.414872312	0.019075983	0.177457828	0.045628374000000006	0.26905020399999996	72433	0.321687963	0.40016327399999996	1	2.442590685	0.678071905	1.4329594069999998	166.0	G1	0.15318694900000002	0.536756608	27843261.38	1.155283136
1CDU_434	12	1CDU_2851	1CDU	0.37489249	0.027828355	0.394588228	0.083365414	0.224142817	145468	0.471974548	0.25786122300000003	1	2.511284958	0.469485283	1.191298652	489.0	early-S	0.13157988699999998	0.639413297	28504797.78	1.089256594
1CDU_435	12	1CDU_2851	1CDU	0.336755704	0.028238337000000002	0.340662717	0.10318757099999999	0.268469051	180545	0.428079401	0.285662113	1	2.488299312	0.691877705	0.548436625	664.0	early-S	0.125773905	0.7026628070000001	27823755.82	1.085539215
1CDU_436	12	1CDU_2851	1CDU	0.290484237	0.030975884	0.11220271400000001	0.087110563	0.137562758	243299	0.443007565	0.384771906	1	2.548622904	0.413419221	1.285402219	647.0	early-S	0.112019334	0.6898263490000001	32438731.22	1.096604365
1CDU_437	12	1CDU_2851	1CDU	0.27710902	0.034970958999999996	0.174676277	0.08713256400000001	0.214799972	287974	0.37509632	0.49505769299999997	1	2.4640604809999997	0.49815767299999997	0.373458396	1070.0	early-S	0.09976118699999999	0.758172493	27584235.39	1.223054699
1CDU_438	12	1CDU_2851	1CDU	0.383226794	0.028027929	0.316478548	0.050998065	0.302881837	133358	0.336666164	0.21043972800000002	1	2.408566461	1.102810806	1.040641984	160.0	G1	0.16828024800000002	0.574067824	23041950.15	1.069124016
1CDU_441	12	1CDU_2851	1CDU	0.523096804	0.018707008	0.343925985	0.062105368	0.23815125	70477	0.384877326	0.350410537	1	2.559943468	1.311944006	1.0	517.0	early-S	0.12984257	0.662241524	28918596.87	1.06726151
