cell_nm	f_trans	trans_align	cis_ab_comp	mean_insu	f_mitotic_band	f_near_band	far_mu	repli_score
1CDX1_167	0.31467301795055314	0.5865789183961843	0.3551551735759167	0.7300923569900628	0.25558159449885365	0.3712978421151283	0.5332097880653247	0.11703526889403904
1CDX1_171	0.22184409891702064	0.32754655227717294	0.2907581961948566	0.572430266241944	0.2669494469969471	0.3519570565050021	0.5623894371298708	0.13664552220773762
1CDX1_172	0.37503108856083445	0.7877120842921252	0.2667963907289412	0.814370339779658	0.34656921202296487	0.2964422221636609	0.3422919855551789	0.07959834233756524
1CDX1_174	0.3254209551312246	0.6876954738422185	0.45336750196603426	0.7560685699690748	0.22751903909640622	0.4569906944137867	0.5190206109402848	0.15440512849859322
1CDX1_175	0.5038346737362176	0.3953561995311805	0.37914744348382834	0.7112356494261134	0.21829989506451872	0.4401140670445518	0.6736996232651299	0.1278984842331048
1CDX1_176	0.118254236898307	0.7528644706542728	0.24778020228030279	0.47585780340052386	0.49858119877817253	0.2061830068372157	0.21618284052443143	0.1303136954287103
1CDX1_177	0.4153909412007365	0.5308465005107217	0.3582226293566128	0.8306650905417834	0.20018957095938053	0.509634918443612	0.5164882341980466	0.13245997331251091
1CDX1_182	0.4947844237825548	0.4505686399868021	0.3733877931431529	0.8924127327462039	0.18673455359160793	0.5423523072894267	0.6254874746964109	0.16268065099768192
1CDX1_183	0.39315847376038804	0.23896687905560177	0.49693721821423287	0.8373565846944282	0.11376453720435764	0.7393789729295377	0.6993668283928663	0.3098980428336251
1CDX1_185	0.6668999661280834	0.49297531710852516	0.6469399863884829	0.7853552572012246	0.2563802394857261	0.6484016277487603	0.4628442925203048	0.2896403758875632
1CDX1_186	0.38262213128782163	0.8827932551901182	0.3534336885066821	0.7935713722496691	0.29865208149462197	0.37185935642734647	0.3790885595035952	0.1568760272994436
1CDX1_187	0.25192415230744636	0.5338593351631622	0.3015417901850439	0.7871077676954941	0.251464332156506	0.385086414316393	0.5872172642643011	0.1284222495207885
1CDX1_191	0.3014184268198754	0.44386327121081576	0.3634035854841314	0.7333971711016167	0.24101541095542275	0.42065434108165545	0.5855233230161618	0.09855593537010865
1CDX1_192	0.37454032720672104	0.19503069020976488	0.2737589748793982	0.9189647816456024	0.1554624565033191	0.5105858979931788	0.8204397315494221	0.1470941071970051
1CDX1_193	0.25695816578918795	0.4541547832573373	0.32855104034466215	0.5903914961099341	0.36045229529345557	0.25914063028925616	0.3725422963287033	0.12663137211976494
1CDX1_194	0.3944071588494015	0.509363895894494	0.43069853133267255	0.5615883874843293	0.06148696276915247	0.8388315925042951	0.5481744383214435	0.6627131136697684
1CDX1_195	0.38794665509105075	0.42507090484293003	0.5648041055436056	0.8354855367253478	0.21034787804660057	0.4244051754259348	0.6254148389066017	0.16192866422604624
1CDX1_196	0.3057255145628287	0.3344198152894195	0.32670294455786053	0.8083262697100131	0.21544420773218756	0.37075510322730243	0.725633951190617	0.16441953201982162
1CDX1_197	0.24644286984789546	0.553752169706596	0.3734753544562779	0.6775629197859012	0.24635191516625168	0.3993972226037883	0.4626770630382335	0.13035046066234157
1CDX1_201	0.24454258045702496	0.5581532990304345	0.28100970735166075	0.6613971777221321	0.24616380815396546	0.41537738323740525	0.5496162767140913	0.11025219162695965
1CDX1_202	0.2791195665587992	0.5199709463898329	0.40571745866157666	0.6876180004791461	0.17466532873244792	0.5900413764060661	0.6698356510358665	0.19706227327154746
1CDX1_203	0.4248542870434613	0.7095955408676281	0.4094700419387952	0.7329473591202658	0.28205612037631755	0.4688503045723902	0.43444312326799894	0.1184303125675541
1CDX1_204	0.2750151520108629	0.6512461315083029	0.2612369681834096	0.6604196498522337	0.2935320367191675	0.3545528741813724	0.3985301722937945	0.1174617699801841
1CDX1_205	0.499730806128176	0.5878975408005983	0.32698877968913903	0.7915303334856234	0.19951354398212937	0.48851361237589064	0.5331298007816992	0.13846938075499038
1CDX1_207	0.8944993928043763	0.20124924881327638	0.4570393140303045	0.8767207175872378	0.2273324770719891	0.40840782327535274	0.8561244707032287	0.11824135969611849
1CDX1_211	0.4247327385307521	0.6025304652136406	0.21368600031188656	0.7935944235274843	0.19910615769464649	0.5580440896471404	0.5570970922907023	0.2085835986740836
